State,abbr,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990,Rate2018,Rank2018,Rate2017,Rank2017,Rate2016,Rank2016,Rate2015,Rank2015,Rate2014,Rank2014,Rate2013,Rank2013,Rate2012,Rank2012,Rate2011,Rank2011,Rate2010,Rank2010,Rate2009,Rank2009,Rate2008,Rank2008,Rate2007,Rank2007,Rate2006,Rank2006,Rate2005,Rank2005,Rate2004,Rank2004,Rate2003,Rank2003,Rate2002,Rank2002,Rate2001,Rank2001,Rate2000,Rank2000
New Jersey,NJ,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,3,2.7,3,3,3,2.9,3,3.2,3.4,3.4,3,3,3,3,4.1,33,4.6,33,5,29,5.8,37,6.8,39,8.2,43,9.3,47,9.3,35,9.5,32,9.1,31,5.3,23,4.3,22,4.7,30,4.5,18,4.8,16,5.8,31,5.8,34,4.3,20,3.7,22
New Mexico,NM,0,0,0,3.3,3.6,3.4,3,3.3,4,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,6.6,4.9,4.9,47,5.9,49,6.6,50,6.5,47,6.7,38,6.9,25,7.1,20,7.5,17,8.1,18,7.5,17,4.5,13,3.8,15,4.2,20,5.1,31,5.5,32,5.9,32,5.5,25,4.9,33,4.9,42
New York,NY,2.8,2.7,2.7,2.7,2.8,2.7,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3,3.2,3.4,3.5,3,3.3,3,3.2,4.1,33,4.7,35,4.9,28,5.3,27,6.3,29,7.7,35,8.5,38,8.3,26,8.6,25,8.3,27,5.4,25,4.6,29,4.5,25,5,26,5.8,38,6.4,40,6.1,39,4.8,30,4.5,39
North Carolina,NC,3.1,3.1,3.2,3.1,3.4,3.4,3.7,3.7,3.8,3.8,3.8,4,4,4.1,4.2,4.2,4.4,4.6,4.5,4.6,5,5.1,4,31,4.5,31,5.1,33,5.7,35,6.3,29,8,41,9.3,47,10.3,46,10.9,45,10.6,44,6.1,34,4.7,34,4.7,30,5.2,33,5.5,32,6.4,40,6.6,46,5.5,45,3.7,22
North Dakota,ND,2.6,2.5,2.6,2.8,2.8,2.9,3.1,2.7,3.1,2.8,2.9,2.9,3,2.9,3.1,2.9,2.9,2.9,3.4,4.4,3.4,3.6,2.6,3,2.7,2,3.1,4,2.8,1,2.7,1,2.9,1,3.1,1,3.5,1,3.8,1,4.1,1,3.2,3,3.1,7,3.2,6,3.4,2,3.4,1,3.7,2,3.7,3,2.9,1,3,10
Ohio,OH,2.9,2.9,3,3.1,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4,4,4.2,3.9,4.3,4.7,4.5,43,5,44,5,29,4.9,22,5.8,22,7.5,33,7.4,25,8.8,31,10.3,37,10.3,39,6.4,40,5.6,47,5.4,45,5.9,43,6.3,45,6.2,38,5.7,32,4.3,20,4,29
Oklahoma,OK,3.8,4.1,4.4,4.4,4.5,4.5,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,0,0,0,0,0,6.6,7.7,3.4,17,4.2,23,4.8,25,4.4,15,4.5,11,5.3,11,5.2,6,5.9,8,6.8,8,6.4,6,3.7,6,4.1,20,4,16,4.5,18,4.9,19,5.5,21,4.7,16,3.7,10,3,10
Oregon,OR,3.4,3.4,3.4,3.4,3.4,3.6,3.8,3.8,4,3.9,3.9,3.9,4,4.2,4.1,4.3,4.6,4.8,4.8,4.6,4.7,5.5,4.1,33,4.1,22,4.8,25,5.6,32,6.8,39,7.9,40,8.8,40,9.5,38,10.6,44,11.3,49,6.5,42,5.2,41,5.3,44,6.2,45,7.3,49,8.1,51,7.5,51,6.4,50,5.1,45
Pennsylvania,PA,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.3,4.2,38,4.9,40,5.4,39,5.3,27,5.9,24,7.4,32,7.8,29,7.9,23,8.5,24,8,24,5.3,23,4.4,25,4.6,28,5,26,5.4,29,5.7,27,5.6,28,4.8,30,4.1,31
Rhode Island,RI,2.9,2.9,2.8,3,2.8,3.1,3.2,3.2,3.2,3,2.7,2.8,3,3,3.1,3.1,3.2,3.2,2.9,2.7,3.6,3.7,4,31,4.4,29,5.2,36,6,38,7.7,49,9.3,50,10.4,49,11,49,11.2,47,11,45,7.8,50,5.2,41,4.9,35,5,26,5.2,26,5.3,18,5,17,4.6,26,4.1,31
